officeName,addressLine1,addressLine2,city,state,zipCode,Cancer Type
"Rocky Mountain Cancer Centers, LLP",8820 Huron Street ,,Thornton,CO,80260,Lung,LUN 512
"Minnesota Oncology Hematology, P.A.","675 East Nicollet Blvd., Suite 100",,Burnsville,MN,55337,Lung,LUN 512
"Minnesota Oncology Hematology, P.A.",11850 Blackfoot Street NW Suite 100,,Coon Rapids,MN,55433,Lung,LUN 512
"Minnesota Oncology Hematology, P.A.","6545 France Avenue South, Ste. 210",,Edina,MN,55435,Lung,LUN 512
"Minnesota Oncology Hematology, P.A.","480 Osborne Road NE, Suite 220",,Fridley,MN,55432,Lung,LUN 512
"Minnesota Oncology Hematology, P.A.",1580 Beam Avenue,,Maplewood,MN,55109,Lung,LUN 512
"Minnesota Oncology Hematology, P.A.","910 East 26th Street, Suites 100 and 200",,Minneapolis,MN,55404,Lung,LUN 512
"Minnesota Oncology Hematology, P.A.","2805 Campus Dr., Suite 105",,Plymouth,MN,55441,Lung,LUN 512
"Minnesota Oncology Hematology, P.A.","6025 Lake Road, Suite 110",,Woodbury,MN,55125,Lung,LUN 512
"New York Oncology Hematology, P.C.","400 Patroon Creek Blvd., Suite 1",,Albany,NY,12206,Lung,LUN 512
"New York Oncology Hematology, P.C.","43 New Scotland Avenue, MC 7",,Albany,NY,12208,Lung,LUN 512
"New York Oncology Hematology, P.C.","3 Crossing Boulevard, Suite 1",,Clifton Park,NY,12065,Lung,LUN 512
Texas Oncology - West Texas,1957 Antilley Rd.,,Abilene,TX,79606,Lung,LUN 512
Texas Oncology - West Texas,1826 Point West Pkwy,,Amarillo,TX,79124,Lung,LUN 512
Texas Oncology - Northeast Texas,2600 Scripture Street ,,Denton,TX,76201,Lung,LUN 512
Texas Oncology - West Texas,"3270 Joe Battle Dr., Suite 312",,El Paso,TX,79938,Lung,LUN 512
Texas Oncology - West Texas,7848 Gateway East,,El Paso,TX,79915,Lung,LUN 512
Texas Oncology - San Antonio,"506 W. Windcrest Street, Ste. 300",,Fredericksburg,TX,78624,Lung,LUN 512
Texas Oncology - West Texas,"400 Rosalind Redfern Grover Parkway, Suite 100",,Midland,TX,79701,Lung,LUN 512
Texas Oncology - San Antonio,1448 East Common Street,,New Braunfels,TX,78130,Lung,LUN 512
Texas Oncology - West Texas,500 W. 3rd St.,,Odessa,TX,79761,Lung,LUN 512
Texas Oncology - San Antonio,"18707 Hardy Oak Boulevard, Ste. 320",,San Antonio,TX,78258,Lung,LUN 512
Texas Oncology - San Antonio,"2130 N. E. Loop 410, Suite 100",,San Antonio,TX,78217,Lung,LUN 512
Texas Oncology - San Antonio,5206 Research Drive,,San Antonio,TX,78240,Lung,LUN 512
Texas Oncology - West Texas,5400 Kell West Blvd.,,Wichita Falls,TX,76310,Lung,LUN 512
Virginia Oncology Associates,"744 N. Battlefield Blvd., Suite 200",,Chesapeake,VA,23320,Lung,LUN 512
Virginia Oncology Associates,"3000 Coliseum Drive, Suite 104",,Hampton,VA,23666,Lung,LUN 512
Virginia Oncology Associates ,"1051 Loftis Blvd., Suite 100",,Newport News,VA,23606,Lung,LUN 512
Virginia Oncology Associates,"6251 E. Virginia Beach Blvd., Suite 200",,Norfolk,VA,23502,Lung,LUN 512
Virginia Oncology Associates,"1950 Glenn Mitchell Drive, Suite 102",,Virginia Beach,VA,23456,Lung,LUN 512
Virginia Oncology Associates,"500 Sentara Circle, Suite 203",,Williamsburg,VA,23188,Lung,LUN 512
"Rocky Mountain Cancer Centers, LLP",1700 South Potomac Street,,Aurora,CO,80012,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP",4715 Arapahoe Ave,,Boulder,CO,80303,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP","2312 N. Nevada Avenue, Suite 400",,Colorado Springs,CO,80907,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP","6031 E. Woodmen Rd, Suite 200",,Colorado Springs,CO,80923,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP","4700 E. Hale Parkway, Suite 400",,Denver,CO,80220,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP","1800 Williams Street, Suite 200",,Denver,CO,80218,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP","11750 West 2nd Place, Suite 160",,Lakewood,CO,80228,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP",22 West Dry Creek Circle,,Littleton,CO,80120,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP","10107 Ridge Gate Parkway, Suite 200",,Lone Tree,CO,80124,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP","1760 E. Ken Pratt Boulevard, Suite 302",UCHealth Medical Office Building,Longmont,CO,80504,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP","525 W. 15th St., Suite 200",,Pueblo,CO,81003,Lung,LUN 544
"Rocky Mountain Cancer Centers, LLP",8820 Huron Street ,,Thornton,CO,80260,Lung,LUN 544
"Maryland Oncology Hematology, P.A.","810 Bestgate Road, Suite 400",,Annapolis,MD,21401,Lung,LUN 544
"Maryland Oncology Hematology, P.A.","6420 Rockledge Drive, Suite 4200",,Bethesda,MD,20817,Lung,LUN 544
"Maryland Oncology Hematology, P.A.","7704 Matapeake Business Drive, Suite 200",,Brandywine,MD,20613,Lung,LUN 544
"Maryland Oncology Hematology, P.A.","10710 Charter Drive, Suite G020",,Columbia,MD,21044,Lung,LUN 544
"Maryland Oncology Hematology, P.A.",20330 Seneca Meadows Pkwy,Suite B,Germantown,MD,20876,Lung,LUN 544
"Maryland Oncology Hematology, P.A.","9333 HealthCare Way, Suite 4100",,Largo,MD,20774,Lung,LUN 544
"Maryland Oncology Hematology, P.A.","9905 Medical Center Drive, Suite 200",,Rockville,MD,20850,Lung,LUN 544
"Maryland Oncology Hematology, P.A.","11886 Healing Way, Ste. 701",,Silver Spring,MD,20904,Lung,LUN 544
"Oncology_Hematology Care Clinical Trials, LLC",601 Ivy Gateway Suite 1100,  ,Cincinnati,OH,45245,Lung,LUN 544
"Oncology_Hematology Care Clinical Trials, LLC",4350 Malsbary Road,,Cincinnati,OH,45242,Lung,LUN 544
"Oncology_Hematology Care Clinical Trials, LLC","3301 Mercy Health Blvd., Suite 100",,Cincinnati,OH,45211,Lung,LUN 544
"Oncology_Hematology Care Clinical Trials, LLC","3050 Mack Road, Suite 300",,Fairfield,OH,45014,Lung,LUN 544
"Oncology Associates of Oregon, P.C.",520 Country Club Rd,,Eugene,OR,97401,Lung,LUN 544
"Northwest Cancer Specialists, P.C.",265 N. Broadway ,,Portland ,OR,97227,Lung,LUN 544
"Northwest Cancer Specialists, P.C.","5050 NE Hoyt Street, Suite 256",,Portland,OR,97213,Lung,LUN 544
"Northwest Cancer Specialists, P.C.",12123 SW 69th Ave,,Tigard,OR,97223,Lung,LUN 544
"Alliance Cancer Specialists, PC","1311 Bristol Pike, Suite 100",,Bensalem Township,PA,19020,Lung,LUN 544
"Alliance Cancer Specialists, PC","201 Gibraltar Road, Suite 120",,Horsham,PA,19044,Lung,LUN 544
"Alliance Cancer Specialists, PC ","1203 Langhorne Newtown Road, Suite 135",,Langhorne,PA,19047,Lung,LUN 544
"Alliance Cancer Specialists, PC","1078 West Baltimore Pike, Suite 1",,Media,PA,19063,Lung,LUN 544
"Alliance Cancer Specialists, PC",9910 E. Roosevelt Blvd.,,Philadelphia,PA,19115,Lung,LUN 544
"Alliance Cancer Specialists, PC","915 Lawn Avenue, Suite 202",,Sellersville,PA,18960,Lung,LUN 544
"Alliance Cancer Specialists, PC",100 East Lancaster Ave.,,Wynnewood,PA,19096,Lung,LUN 544
Prisma Health - Upstate,2400 Boiling Springs Rd,,Boiling Springs,SC,29316,Lung,LUN 544
Prisma Health - Upstate,200 Fleetwood Drive,,Easley,SC,29640,Lung,LUN 544
Prisma Health - Upstate,"3 Butternut Drive, Suite 3B",,Greenville,SC,29605,Lung,LUN 544
Prisma Health - Upstate,65 International Dr.,,Greenville,SC,29615,Lung,LUN 544
Prisma Health - Upstate,900 West Faris Road,,Greenville,SC,29605,Lung,LUN 544
Prisma Health - Upstate,"340 Medical Parkway, Suite 100",,Greer,SC,29650,Lung,LUN 544
Prisma Health - Upstate,131 Lila Doyle Dr.,,Seneca ,SC,29672,Lung,LUN 544
Texas Oncology - Central South,"901 West 38th Street, Suite 200",,Austin ,TX,78705,Lung,LUN 544
Texas Oncology - Central South,6204 Balcones Dr.,,Austin,TX,78731,Lung,LUN 544
Texas Oncology - Central South,"4101 James Casey, Suite 100",,Austin,TX,78745,Lung,LUN 544
Texas Oncology - Gulf Coast,"925 Gessner, Suite 550",,Houston,TX,77024,Lung,LUN 544
Texas Oncology - Gulf Coast,1350 First Colony Blvd.,,Sugar Land,TX,77479,Lung,LUN 544
Texas Oncology - Gulf Coast,"9180 Pinecroft Drive, Suite 600",,The Woodlands,TX,77380,Lung,LUN 544
Texas Oncology - Central South,6520 Horizon Circle,,Waco,TX,76712,Lung,LUN 544
Texas Oncology - Central South,1700 W. Hwy 6,,Waco,TX,76712,Lung,LUN 544
Texas Oncology - Gulf Coast,501 Medical Center Blvd.,,Webster,TX,77598,Lung,LUN 544
"Virginia Cancer Specialists, PC ",8613 Route 29,,Fairfax,VA,22031,Lung,LUN 544
"Virginia Cancer Specialists, PC ",7901 Lake Manassas Drive,,Gainesville,VA,20155,Lung,LUN 544
"Virginia Cancer Specialists, PC","1860 Town Center Drive, Suite 460",,Reston,VA,20190,Lung,LUN 544
"Northwest Cancer Specialists, P.C.",210 SE 136th Avenue,,Vancouver,WA,98684,Lung,LUN 544
FCS South-Bonita,9776 Bonita Beach Rd,Suite 201A,Bonita Springs,FL,34135,Lung,LUN 482
FCS South-Bradenton,3630 Manatee Avenue West,,Bradenton,FL,34205,Lung,LUN 482
FCS South-New Fort Myers,1030 Commerce Creek Blvd,,Cape Coral,FL,33909,Lung,LUN 482
FCS East-Daytona Beach,224 Memorial Medical Parkway,Suite 300,Daytona Beach,FL,32117,Lung,LUN 482
FCS PAN-Fleming Island,4689 US Highway 17,Suite 2,Fleming Island,FL,32003,Lung,LUN 482
FCS South-Colonial,8981 Colonial Center Drive,,Fort Myers,FL,33905,Lung,LUN 482
FCS South-Gladiolus,8260 Gladiolus Drive,,Fort Myers,FL,33908,Lung,LUN 482
FCS South-Naples Goodlette,1100 Goodlette Road North,,Naples,FL,34102,Lung,LUN 482
FCS South-Naples West,681 4th Avenue North,,Naples,FL,34102,Lung,LUN 482
FCS South-Port Charlotte,22395 Edgewater Drive,,Port Charlotte,FL,33980,Lung,LUN 482
FCS South-Sarasota Cattlemen,600 North Cattlemen Road,Suite 200,Sarasota,FL,34232,Lung,LUN 482
FCS South-Sarasota Downtown,1970 Golf Street,,Sarasota,FL,34236,Lung,LUN 482
FCS East-Stuart,301 SE Ocean Blvd,Suite 102,Stuart,FL,34994,Lung,LUN 482
FCS PAN-Tallahassee Phillips,2351 Phillips Road,,Tallahassee,FL,32308,Lung,LUN 482
FCS South-Venice Healthpark,836 Sunset Lake Blvd.,Suite 101,Venice,FL,34292,Lung,LUN 482
FCS South-Venice Island,901 S. Tamiami Trail,,Venice,FL,34285,Lung,LUN 482
FCS East-Vero Beach,3730 7th Terrace,Suite 101,Vero Beach,FL,32960,Lung,LUN 482
FCS East-Wellington,1037 State Road 7,"Wellington Reserve Building, Suite 303",Wellington,FL,33414,Lung,LUN 482
FCS East-Good Sam Flagler and Research Admin Office (GSF),1309 N. Flagler Drive,,West Palm Beach,FL,33401,Lung,LUN 482
Zangmeister Cancer Center-Zangmeister Cancer Center,3100 Plaza Properties Blvd,NULL,Columbus,OH,43219,Lung,LUN 482
OU-OU Health University of Oklahoma Medical Center,700 Northeast 13th Street,,Oklahoma City,OK,73104,Lung,LUN 483
OU-Stephenson Cancer Center,800 N.E. 10th Street,,Oklahoma City,OK,73104,Lung,LUN 483
OU-Stephenson Cancer Center - Main,800 N.E. 10th Street,Suite 3302,Oklahoma City,OK,73104,Lung,LUN 483
OU-Stephenson Cancer Center Chemo,800 N.E. 10th Street,3rd Floor,Oklahoma City,OK,73104,Lung,LUN 483
SCRI Oncology Partners-Sarah Cannon Research Institute -  Pharmacy,335 24th Avenue North,Suite 430,Nashville,TN,37203,Lung,LUN 483
SCRI Oncology Partners-SCRI Oncology Partners,335 24th Avenue North,Suite 200,Nashville,TN,37203,Lung,LUN 483
SCRI Oncology Partners-CMC Pharmacy,2300 Patterson Street,3rd Floor,Nashville,TN,37203,Lung,LUN 535
SCRI Oncology Partners-Sarah Cannon Research Institute -  Pharmacy,335 24th Avenue North,Suite 430,Nashville,TN,37203,Lung,LUN 535
SCRI Oncology Partners-SCRI Oncology Partners,335 24th Avenue North,Suite 200,Nashville,TN,37203,Lung,LUN 535
SCRI Oncology Partners-TriStar BMT,2410 Patterson Street,Suite 500,Nashville,TN,37203,Lung,LUN 535
SCRI Oncology Partners-TriStar CMC,2410 Patterson Street,Suite 300,Nashville,TN,37203,Lung,LUN 535
SCRI Oncology Partners-TriStar CMC - Cell Processing,2300 Patterson Street,3rd Floor,Nashville,TN,37203,Lung,LUN 535
Texas Oncology - Northeast Texas,1300/1400 North 4th St.,,Longview,TX,75601,Lung,LUN 532
Texas Oncology - Northeast Texas,501 Saunders Avenue,,Tyler,TX,75702,Lung,LUN 532
Virginia Oncology Associates,"6251 E. Virginia Beach Blvd., Suite 200",,Norfolk,VA,23502,Lung,LUN 532
FCS North-Altamonte Springs,750 Orienta Avenue,,Altamonte Springs,FL,32701,Lung,LUN 521
FCS South-Bonita,9776 Bonita Beach Rd,Suite 201A,Bonita Springs,FL,34135,Lung,LUN 521
FCS South-Bradenton,3630 Manatee Avenue West,,Bradenton,FL,34205,Lung,LUN 521
FCS South-Lakewood Ranch,5985 Silver Falls Run,Suite 200,Bradenton,FL,34211,Lung,LUN 521
FCS North-Brandon,403 S. Kings Avenue,Suite 100,Brandon,FL,33511,Lung,LUN 521
FCS South-New Fort Myers,1030 Commerce Creek Blvd,,Cape Coral,FL,33909,Lung,LUN 521
FCS North-Mease,3280 McMullen Booth Road,Suite 200,Clearwater,FL,33761,Lung,LUN 521
FCS East-Daytona Beach,224 Memorial Medical Parkway,Suite 300,Daytona Beach,FL,32117,Lung,LUN 521
FCS PAN-Fleming Island,4689 US Highway 17,Suite 2,Fleming Island,FL,32003,Lung,LUN 521
FCS South-Colonial,8981 Colonial Center Drive,,Fort Myers,FL,33905,Lung,LUN 521
FCS South-Gladiolus,8260 Gladiolus Drive,,Fort Myers,FL,33908,Lung,LUN 521
FCS North-Gainesville,6420 W. Newberry Road,"East Wing, Suite 100",Gainesville,FL,32605,Lung,LUN 521
FCS North-Highland,100 Highland Avenue,,Largo,FL,33770,Lung,LUN 521
FCS North-Lecanto,521 N. Lecanto Highway,,Lecanto,FL,34461,Lung,LUN 521
FCS South-Naples Goodlette,1100 Goodlette Road North,,Naples,FL,34102,Lung,LUN 521
FCS South-Naples West,681 4th Avenue North,,Naples,FL,34102,Lung,LUN 521
FCS North-Ocala,4945 SW 49th Place,NULL,Ocala,FL,34474,Lung,LUN 521
FCS North-Orlando (Downtown),70 W. Gore Street,Suite 100,Orlando,FL,32806,Lung,LUN 521
FCS South-Port Charlotte,22395 Edgewater Drive,,Port Charlotte,FL,33980,Lung,LUN 521
FCS South-Sarasota Cattlemen,600 North Cattlemen Road,Suite 200,Sarasota,FL,34232,Lung,LUN 521
FCS South-Sarasota Downtown,1970 Golf Street,,Sarasota,FL,34236,Lung,LUN 521
FCS North-St. Anthony's,1201 Fifth Avenue,Suite 505,St. Petersburg,FL,33705,Lung,LUN 521
FCS East-Stuart,301 SE Ocean Blvd,Suite 102,Stuart,FL,34994,Lung,LUN 521
FCS PAN-Tallahassee Phillips,2351 Phillips Road,,Tallahassee,FL,32308,Lung,LUN 521
FCS North-Tampa Cancer Center,3402 W. Dr. Martin Luther King Jr. Blvd.,,Tampa,FL,33607,Lung,LUN 521
FCS North-Tavares,4100 Waterman Way,,Tavares,FL,32778,Lung,LUN 521
FCS North-Villages,1400 US Highway 441 N,Suite 540,The Villages,FL,32159,Lung,LUN 521
FCS North-Trinity,9320 State Road 54,NULL,Trinity,FL,34655,Lung,LUN 521
FCS South-Venice Healthpark,836 Sunset Lake Blvd.,Suite 101,Venice,FL,34292,Lung,LUN 521
FCS South-Venice Island,901 S. Tamiami Trail,,Venice,FL,34285,Lung,LUN 521
FCS East-Vero Beach,3730 7th Terrace,Suite 101,Vero Beach,FL,32960,Lung,LUN 521
FCS East-Wellington,1037 State Road 7,"Wellington Reserve Building, Suite 303",Wellington,FL,33414,Lung,LUN 521
FCS East-Good Sam Flagler and Research Admin Office (GSF),1309 N. Flagler Drive,,West Palm Beach,FL,33401,Lung,LUN 521
FCS North-Winter Park,460 N. Orlando Avenue,"Suite 200, Building D",Winter Park,FL,32789,Lung,LUN 521
SCRI Oncology Partners-Sarah Cannon Research Institute -  Pharmacy,335 24th Avenue North,Suite 430,Nashville,TN,37203,Lung,LUN 521
SCRI Oncology Partners-SCRI Oncology Partners,335 24th Avenue North,Suite 200,Nashville,TN,37203,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP",1700 South Potomac Street,,Aurora,CO,80012,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP",4715 Arapahoe Ave,,Boulder,CO,80303,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP","2312 N. Nevada Avenue, Suite 400",,Colorado Springs,CO,80907,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP","6031 E. Woodmen Rd, Suite 200",,Colorado Springs,CO,80923,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP","4700 E. Hale Parkway, Suite 400",,Denver,CO,80220,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP","1800 Williams Street, Suite 200",,Denver,CO,80218,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP","11750 West 2nd Place, Suite 160",,Lakewood,CO,80228,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP",22 West Dry Creek Circle,,Littleton,CO,80120,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP","10107 Ridge Gate Parkway, Suite 200",,Lone Tree,CO,80124,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP","1760 E. Ken Pratt Boulevard, Suite 302",UCHealth Medical Office Building,Longmont,CO,80504,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP","525 W. 15th St., Suite 200",,Pueblo,CO,81003,Lung,LUN 521
"Rocky Mountain Cancer Centers, LLP",8820 Huron Street ,,Thornton,CO,80260,Lung,LUN 521
"Cancer Care Centers of Brevard, Inc.",2290 W. Eau Gallie Blvd.,,Melbourne,FL,32935,Lung,LUN 521
"Cancer Care Centers of Brevard, Inc.",20 San Filippo Dr SE,,Palm Bay,FL,32901,Lung,LUN 521
"Woodlands Medical Specialists, PA",4724 North Davis Highway,,Pensacola,FL,32503,Lung,LUN 521
"Cancer Care Centers of Brevard, Inc. ",1048 Harvin Way,,Rockledge,FL,32955,Lung,LUN 521
"New York Oncology Hematology, P.C.","400 Patroon Creek Blvd., Suite 1",,Albany,NY,12206,Lung,LUN 521
"New York Oncology Hematology, P.C.","3 Crossing Boulevard, Suite 1",,Clifton Park,NY,12065,Lung,LUN 521
"Oncology_Hematology Care Clinical Trials, LLC",601 Ivy Gateway Suite 1100,  ,Cincinnati,OH,45245,Lung,LUN 521
"Oncology_Hematology Care Clinical Trials, LLC",4350 Malsbary Road,,Cincinnati,OH,45242,Lung,LUN 521
"Oncology_Hematology Care Clinical Trials, LLC","3301 Mercy Health Blvd., Suite 100",,Cincinnati,OH,45211,Lung,LUN 521
"Oncology_Hematology Care Clinical Trials, LLC","3050 Mack Road, Suite 300",,Fairfield,OH,45014,Lung,LUN 521
"Oncology Associates of Oregon, P.C.",520 Country Club Rd,,Eugene,OR,97401,Lung,LUN 521
Prisma Health - Upstate,200 Fleetwood Drive,,Easley,SC,29640,Lung,LUN 521
Prisma Health - Upstate,"3 Butternut Drive, Suite 3B",,Greenville,SC,29605,Lung,LUN 521
Prisma Health - Upstate,65 International Dr.,,Greenville,SC,29615,Lung,LUN 521
Prisma Health - Upstate,900 West Faris Road,,Greenville,SC,29605,Lung,LUN 521
Prisma Health - Upstate,"340 Medical Parkway, Suite 100",,Greer,SC,29650,Lung,LUN 521
Prisma Health - Upstate,131 Lila Doyle Dr.,,Seneca ,SC,29672,Lung,LUN 521
Texas Oncology - Central South,"901 West 38th Street, Suite 200",,Austin ,TX,78705,Lung,LUN 521
Texas Oncology - Central South,6204 Balcones Dr.,,Austin,TX,78731,Lung,LUN 521
Texas Oncology - Central South,"4101 James Casey, Suite 100",,Austin,TX,78745,Lung,LUN 521
Texas Oncology - DFW,"3410 Worth Street, Suites 300 and 400",,Dallas,TX,75246,Lung,LUN 521
Texas Oncology - Northeast Texas,1300/1400 North 4th St.,,Longview,TX,75601,Lung,LUN 521
Texas Oncology - Northeast Texas,3415 South Loop 256,,Palestine,TX,75801,Lung,LUN 521
Texas Oncology - Northeast Texas,3550 N.E. Loop 286,,Paris,TX,75460,Lung,LUN 521
Texas Oncology - Northeast Texas,501 Saunders Avenue,,Tyler,TX,75702,Lung,LUN 521
Texas Oncology - Central South,6520 Horizon Circle,,Waco,TX,76712,Lung,LUN 521
Texas Oncology - Central South,1700 W. Hwy 6,,Waco,TX,76712,Lung,LUN 521
Virginia Oncology Associates,"744 N. Battlefield Blvd., Suite 200",,Chesapeake,VA,23320,Lung,LUN 521
"Virginia Cancer Specialists, PC ",8613 Route 29,,Fairfax,VA,22031,Lung,LUN 521
"Virginia Cancer Specialists, PC ",7901 Lake Manassas Drive,,Gainesville,VA,20155,Lung,LUN 521
Virginia Oncology Associates,"3000 Coliseum Drive, Suite 104",,Hampton,VA,23666,Lung,LUN 521
Virginia Oncology Associates ,"1051 Loftis Blvd., Suite 100",,Newport News,VA,23606,Lung,LUN 521
Virginia Oncology Associates,"6251 E. Virginia Beach Blvd., Suite 200",,Norfolk,VA,23502,Lung,LUN 521
"Virginia Cancer Specialists, PC","1860 Town Center Drive, Suite 460",,Reston,VA,20190,Lung,LUN 521
Virginia Oncology Associates,"1950 Glenn Mitchell Drive, Suite 102",,Virginia Beach,VA,23456,Lung,LUN 521
Virginia Oncology Associates,"500 Sentara Circle, Suite 203",,Williamsburg,VA,23188,Lung,LUN 521
SCRI Oncology Partners-Sarah Cannon Research Institute -  Pharmacy,335 24th Avenue North,Suite 430,Nashville,TN,37203,Lung,LUN 543
SCRI Oncology Partners-SCRI Oncology Partners,335 24th Avenue North,Suite 200,Nashville,TN,37203,Lung,LUN 543
"Virginia Cancer Specialists, PC ",8613 Route 29,,Fairfax,VA,22031,Lung,LUN 543
"Virginia Cancer Specialists, PC ",7901 Lake Manassas Drive,,Gainesville,VA,20155,Lung,LUN 543
"Virginia Cancer Specialists, PC","1860 Town Center Drive, Suite 460",,Reston,VA,20190,Lung,LUN 543
SCRI Oncology Partners-CMC Pharmacy,2300 Patterson Street,3rd Floor,Nashville,TN,37203,Lung,LUN 551
SCRI Oncology Partners-Sarah Cannon Research Institute -  Pharmacy,335 24th Avenue North,Suite 430,Nashville,TN,37203,Lung,LUN 551
SCRI Oncology Partners-SCRI Oncology Partners,335 24th Avenue North,Suite 200,Nashville,TN,37203,Lung,LUN 551
SCRI Oncology Partners-TriStar BMT,2410 Patterson Street,Suite 500,Nashville,TN,37203,Lung,LUN 551
SCRI Oncology Partners-TriStar CMC,2410 Patterson Street,Suite 300,Nashville,TN,37203,Lung,LUN 551
SCRI Oncology Partners-TriStar CMC - Cell Processing,2300 Patterson Street,3rd Floor,Nashville,TN,37203,Lung,LUN 551
Genesis Cancer and Blood Institute-Genesis Cancer and Blood Institute,133 Harmony Park Circle,NULL,Hot Springs,AR,71913,Lung,LUN 488
Genesis Cancer and Blood Institute-Genesis Cancer and Blood Institute- Higdon Ferry,1455 Higdon Ferry Road,Suite B,Hot Springs,AR,71913,Lung,LUN 488
FCS North-Altamonte Springs,750 Orienta Avenue,,Altamonte Springs,FL,32701,Lung,LUN 488
FCS South-Bonita,9776 Bonita Beach Rd,Suite 201A,Bonita Springs,FL,34135,Lung,LUN 488
FCS South-Bradenton,3630 Manatee Avenue West,,Bradenton,FL,34205,Lung,LUN 488
FCS South-Lakewood Ranch,5985 Silver Falls Run,Suite 200,Bradenton,FL,34211,Lung,LUN 488
FCS North-Brandon,403 S. Kings Avenue,Suite 100,Brandon,FL,33511,Lung,LUN 488
FCS South-New Fort Myers,1030 Commerce Creek Blvd,,Cape Coral,FL,33909,Lung,LUN 488
FCS North-Mease,3280 McMullen Booth Road,Suite 200,Clearwater,FL,33761,Lung,LUN 488
FCS East-Daytona Beach,224 Memorial Medical Parkway,Suite 300,Daytona Beach,FL,32117,Lung,LUN 488
FCS PAN-Fleming Island,4689 US Highway 17,Suite 2,Fleming Island,FL,32003,Lung,LUN 488
FCS South-Colonial,8981 Colonial Center Drive,,Fort Myers,FL,33905,Lung,LUN 488
FCS South-Gladiolus,8260 Gladiolus Drive,,Fort Myers,FL,33908,Lung,LUN 488
FCS North-Gainesville,6420 W. Newberry Road,"East Wing, Suite 100",Gainesville,FL,32605,Lung,LUN 488
FCS North-Highland,100 Highland Avenue,,Largo,FL,33770,Lung,LUN 488
FCS North-Lecanto,521 N. Lecanto Highway,,Lecanto,FL,34461,Lung,LUN 488
FCS South-Naples Goodlette,1100 Goodlette Road North,,Naples,FL,34102,Lung,LUN 488
FCS South-Naples West,681 4th Avenue North,,Naples,FL,34102,Lung,LUN 488
FCS North-Ocala,4945 SW 49th Place,NULL,Ocala,FL,34474,Lung,LUN 488
FCS North-Orange City,2824 Enterprise Road,,Orange City,FL,32763,Lung,LUN 488
FCS North-Orlando (Downtown),70 W. Gore Street,Suite 100,Orlando,FL,32806,Lung,LUN 488
FCS South-Port Charlotte,22395 Edgewater Drive,,Port Charlotte,FL,33980,Lung,LUN 488
FCS South-Sarasota Cattlemen,600 North Cattlemen Road,Suite 200,Sarasota,FL,34232,Lung,LUN 488
FCS South-Sarasota Downtown,1970 Golf Street,,Sarasota,FL,34236,Lung,LUN 488
FCS North-St. Anthony's,1201 Fifth Avenue,Suite 505,St. Petersburg,FL,33705,Lung,LUN 488
FCS East-Stuart,301 SE Ocean Blvd,Suite 102,Stuart,FL,34994,Lung,LUN 488
FCS PAN-Tallahassee Phillips,2351 Phillips Road,,Tallahassee,FL,32308,Lung,LUN 488
FCS North-Tampa Cancer Center,3402 W. Dr. Martin Luther King Jr. Blvd.,,Tampa,FL,33607,Lung,LUN 488
FCS North-Tavares,4100 Waterman Way,,Tavares,FL,32778,Lung,LUN 488
FCS North-Villages,1400 US Highway 441 N,Suite 540,The Villages,FL,32159,Lung,LUN 488
FCS North-Trinity,9320 State Road 54,NULL,Trinity,FL,34655,Lung,LUN 488
FCS South-Venice Healthpark,836 Sunset Lake Blvd.,Suite 101,Venice,FL,34292,Lung,LUN 488
FCS South-Venice Island,901 S. Tamiami Trail,,Venice,FL,34285,Lung,LUN 488
FCS East-Vero Beach,3730 7th Terrace,Suite 101,Vero Beach,FL,32960,Lung,LUN 488
FCS East-Wellington,1037 State Road 7,"Wellington Reserve Building, Suite 303",Wellington,FL,33414,Lung,LUN 488
FCS East-Good Sam Flagler and Research Admin Office (GSF),1309 N. Flagler Drive,,West Palm Beach,FL,33401,Lung,LUN 488
FCS North-Winter Park,460 N. Orlando Avenue,"Suite 200, Building D",Winter Park,FL,32789,Lung,LUN 488
SCRI Oncology Partners-SCRI Oncology Partners,335 24th Avenue North,Suite 200,Nashville,TN,37203,Lung,LUN 497
Genesis Cancer and Blood Institute-Genesis Cancer and Blood Institute,133 Harmony Park Circle,NULL,Hot Springs,AR,71913,Lung,LUN 514
